id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
74,Folk Memory,River Roots,folk,nostalgic,0.36,84,0.62,0.42,0.92
75,Indie Heartbreak,Glass Garden,indie pop,sad,0.65,108,0.44,0.68,0.48
76,Dream Pop Haze,Lunar Beach,indie,dreamy,0.45,100,0.68,0.52,0.72
77,Hopeful Folk,Morning Roots,folk,hopeful,0.42,92,0.76,0.46,0.88
78,Indie Anthem,Bright Chorus,indie pop,empowered,0.78,118,0.72,0.76,0.38
79,Disco Fever,Glitter Stars,disco,euphoric,0.91,128,0.88,0.90,0.12
80,Latin Love,Sol y Mar,latin,romantic,0.75,110,0.82,0.72,0.60
81,Reggae Morning,Roots Island,reggae,peaceful,0.60,88,0.76,0.62,0.82
82,Breakup Ballad,Echo Hearts,ballad,sad,0.34,68,0.36,0.38,0.90
83,Pop Empowerment,Starlight Drive,pop,empowered,0.85,128,0.78,0.84,0.18
84,Nostalgic Pop,Echo Era,pop,nostalgic,0.68,118,0.72,0.74,0.42
85,Tropical Pop,Sun Waves,pop,happy,0.84,126,0.86,0.82,0.32
86,Hopeful Ballad,Silver Voice,ballad,hopeful,0.48,78,0.72,0.44,0.88
87,Romantic Reggae,Island Breeze,reggae,romantic,0.65,90,0.78,0.60,0.78
